Timestamp,What is your current affiliation with Sunway,"If you are a current student, which year of study are you in?","If you are an alumnus/alumna, which period best describes your graduation year? ",Which faculty/school grouping are/were you primarily associated with at Sunway? ,"How frequently do you (or did you, as a student) use the iZone portal?","Overall, how satisfied are you with your current (or past) experience using the iZone portal?",What are the main tasks you use (or used) the iZone portal for? (Select all that apply),Which of the following aspects of the current iZone portal do you find MOST USEFUL or appreciate the most? (Select up to 3),Which of the following aspects of the current iZone portal cause the MOST FRUSTRATION or are most CHALLENGING for you? (Select up to 3) ,"How often have you experienced STABILITY issues with iZone (e.g., crashes, errors, unexpected logouts)?","If you have experienced performance or stability issues, which of the following have you encountered? (Select all that apply)",How would you rate the overall LOOK AND FEEL (visual design) of the current iZone portal?,Is the iZone portal easy to use on your MOBILE DEVICE (phone/tablet)? ,"Would you find it beneficial if iZone offered better integration of your academic CALENDAR (classes, deadlines, events) with personal calendar apps (e.g., Google Calendar, Outlook Calendar)? ",How satisfied are you with the way ATTENDANCE information is presented and accessed in iZone,"How easy or difficult is it to find important ANNOUNCEMENTS, news, and updates on iZone? ","If you have used iZone for making FEE PAYMENTS, how would you rate your experience? ","Would you be interested in opportunities to provide more detailed feedback, participate in usability testing, or contribute ideas for future iZone enhancements? ","From the list below, please select the TOP 3 areas you feel are MOST IMPORTANT for us to focus on when enhancing the iZone portal"
5/29/2025 2:58:00,Sunway College Alumnus/Alumna,Year 1 (Undergraduate),Within the last 2 years,"Pre-University Programmes (e.g., A-Levels, Foundation)",Daily,4,"Checking timetable / class schedule, Checking attendance records, Accessing university/college announcements & news","Timetable visibility, Attendance tracking","Outdated look and feel (UI design), Lack of important features",Never,I have not experienced significant issues,1,"Yes, it's well optimized and easy to use","Yes, very beneficial",2,1,4,Maybe,"Modernizing the User Interface (Look & Feel), Improving Ease of Use and Navigation (User Experience), Enhancing Timetable & Calendar features, Improving the Attendance System"
5/29/2025 2:59:22,Sunway College Alumnus/Alumna,Year 1 (Undergraduate),Within the last 2 years,"Pre-University Programmes (e.g., A-Levels, Foundation)",Daily,4,"Checking timetable / class schedule, Checking attendance records, Accessing university/college announcements & news","Timetable visibility, Attendance tracking","Outdated look and feel (UI design), Lack of important features",Never,I have not experienced significant issues,1,"Yes, it's well optimized and easy to use","Yes, very beneficial",2,1,4,Maybe,"Modernizing the User Interface (Look & Feel), Improving Ease of Use and Navigation (User Experience), Enhancing Timetable & Calendar features, Improving the Attendance System"
5/29/2025 2:59:50,Sunway College Alumnus/Alumna,Year 1 (Undergraduate),Within the last 2 years,"Pre-University Programmes (e.g., A-Levels, Foundation)",Daily,4,"Checking timetable / class schedule, Checking attendance records, Accessing university/college announcements & news","Timetable visibility, Attendance tracking","Outdated look and feel (UI design), Lack of important features",Never,I have not experienced significant issues,1,"Yes, it's well optimized and easy to use","Yes, very beneficial",2,1,4,Maybe,"Modernizing the User Interface (Look & Feel), Improving Ease of Use and Navigation (User Experience), Enhancing Timetable & Calendar features, Improving the Attendance System"
5/29/2025 3:08:11,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:12,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:14,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:15,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:17,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:18,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:19,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:20,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:22,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:23,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:24,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:26,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:27,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:28,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:29,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:30,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:32,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:33,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:34,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:36,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:37,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:38,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:40,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:41,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:42,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:44,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:45,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:46,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:48,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:49,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:50,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:52,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:53,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:54,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:56,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:57,,,,,,,,,,,,,,,,,,,
5/29/2025 3:08:58,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:00,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:01,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:02,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:03,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:05,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:06,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:07,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:09,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:10,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:11,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:12,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:14,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:15,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:16,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:18,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:19,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:20,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:21,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:23,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:24,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:26,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:27,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:28,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:30,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:31,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:32,,,,,,,,,,,,,,,,,,,
5/29/2025 3:09:33,,,,,,,,,,,,,,,,,,,
5/29/2025 3:11:35,,,,,,,,,,,,,,,,,,,
5/29/2025 3:13:25,,,,,,,,,,,,,,,,,,,
5/29/2025 3:18:31,,,,,,,,,,,,,,,,,,,
5/29/2025 3:18:42,,,,,,,,,,,,,,,,,,,
